model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens,run
deepseek-v4-flash,codewhale,t01-roman,pass,8.2,8.1,1,36423,20572,491,15360,0,0.000000,20,1,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,codewhale,t02-jsonrepair,pass,28.1,27.9,1,53197,27715,3466,22016,0,0.000000,91,1,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,codewhale,t03-ringbuffer,pass,11.9,11,1,38599,21591,624,16384,0,0.000000,13,4,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,codewhale,t04-csvbugfix,pass,21.3,21.2,1,37601,21138,463,16000,0,0.000000,3,3,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,codewhale,t05-todostore,pass,8.3,8.1,1,39993,22389,708,16896,0,0.000000,18,4,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,codewhale,t06-stackvm,pass,84.5,84.4,1,209437,102965,13160,93312,0,0.000000,142,39,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,codewhale,t07-validate,pass,14.5,14.4,1,46937,25414,1939,19584,0,0.000000,11,11,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,codewhale,t08-logsum,pass,17.9,17.5,1,102673,53864,1577,47232,0,0.000000,44,2,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,codewhale,t09-poolrace,pass,1069.7,464.6,1,95289,48439,4098,42752,0,0.000000,8,1,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,codewhale,t10-iniparse,pass,38.7,36.3,1,73126,39160,1326,32640,0,0.000000,5,6,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,codewhale,t11-asyncbugs,pass,15.6,15.3,1,60270,33104,1566,25600,0,0.000000,7,6,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,codewhale,t12-refactor,pass,7.1,6.9,1,38532,21690,586,16256,0,0.000000,2,4,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,codewhale,t13-batchrename,pass,7.6,7.3,1,38603,21629,462,16512,0,0.000000,27,27,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,codewhale,t14-todosweep,pass,6.7,6.6,1,28453,16820,497,11136,0,0.000000,18,0,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,codewhale,t15-pollstats,pass,8.9,8.5,1,39288,22099,549,16640,0,0.000000,1,0,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,codewhale,t16-apisum,pass,9.2,8,1,38953,21899,542,16512,0,0.000000,21,0,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,codewhale,t17-doccheck,pass,221,220.9,1,336830,169549,6001,161280,0,0.000000,31,0,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,niffler,t01-roman,pass,13.9,13.5,1,24166,1441,581,22144,0,0.000000,19,1,2979,false,0,0,0,0,0,0,0,0,0,0,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler,t02-jsonrepair,pass,30.3,30.1,1,34248,1869,3707,28672,0,0.000000,99,1,3029,false,0,0,0,0,0,0,0,0,0,0,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler,t03-ringbuffer,pass,19.5,18.5,1,21824,1485,1011,19328,0,0.000000,14,4,2998,false,0,0,0,0,0,0,0,0,0,0,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler,t04-csvbugfix,pass,11.4,11.3,1,30078,1754,804,27520,0,0.000000,3,3,2955,false,0,0,0,0,0,0,0,0,0,0,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler,t05-todostore,pass,8.6,8.3,1,25623,2427,668,22528,0,0.000000,18,4,2939,false,0,0,0,0,0,0,0,0,0,0,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler,t06-stackvm,pass,88.4,87.9,1,100338,7745,13105,79488,0,0.000000,159,49,2982,false,0,0,0,0,0,0,0,0,0,0,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler,t07-validate,pass,21.6,21.5,1,30194,1877,2717,25600,0,0.000000,16,8,2950,false,0,0,0,0,0,0,0,0,0,0,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler,t08-logsum,pass,21.5,21.1,1,55723,3468,2207,50048,0,0.000000,74,4,2947,false,0,0,0,0,0,0,0,0,0,0,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler,t09-poolrace,pass,10.5,8.9,1,20241,1573,492,18176,0,0.000000,4,1,2965,false,0,0,0,0,0,0,0,0,0,0,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler,t10-iniparse,pass,56.6,53.8,1,33136,2628,2476,28032,0,0.000000,6,5,2953,false,0,0,0,0,0,0,0,0,0,0,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler,t11-asyncbugs,pass,54.6,54.3,1,54107,3371,3376,47360,0,0.000000,6,10,2950,false,0,0,0,0,0,0,0,0,0,0,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler,t12-refactor,pass,10,9.6,1,24159,3036,771,20352,0,0.000000,2,4,2956,false,0,0,0,0,0,0,0,0,0,0,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler,t13-batchrename,pass,11.2,10.8,1,43526,6118,672,36736,0,0.000000,27,27,2972,false,0,0,0,0,0,0,0,0,0,0,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler,t14-todosweep,pass,5.4,5.3,1,12535,1505,406,10624,0,0.000000,18,0,2965,false,0,0,0,0,0,0,0,0,0,0,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler,t15-pollstats,pass,8.1,7.7,1,26720,2090,566,24064,0,0.000000,1,0,2977,false,0,0,0,0,0,0,0,0,0,0,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler,t16-apisum,pass,7.7,6.5,1,17619,1712,419,15488,0,0.000000,11,0,2979,false,0,0,0,0,0,0,0,0,0,0,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler,t17-doccheck,pass,46.6,45.9,1,140286,6531,5627,128128,0,0.000000,127,0,3057,false,0,0,0,0,0,0,0,0,0,0,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler-expert,t01-roman,pass,11.6,11.1,1,21034,7129,465,13440,0,0.000000,19,1,2979,true,1,1,0,0,0,0,0,6262,0,44,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler-expert,t02-jsonrepair,pass,89.5,89.4,1,67943,9226,7069,51648,0,0.000000,50,1,3029,true,2,1,1,1,0,0,0,13505,6208,104,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler-expert,t03-ringbuffer,pass,28,27.1,1,37026,9484,918,26624,0,0.000000,16,4,2998,true,2,2,0,0,0,0,0,13409,6144,64,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler-expert,t04-csvbugfix,pass,11.6,11.4,1,40022,4072,1262,34688,0,0.000000,3,3,2955,true,2,2,0,0,0,0,0,13698,12160,73,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler-expert,t05-todostore,pass,12.4,12.2,1,33944,8874,750,24320,0,0.000000,19,15,2939,true,2,2,0,0,0,0,0,13277,6144,131,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler-expert,t06-stackvm,pass,81.4,80.9,1,103862,8581,11825,83456,0,0.000000,130,23,2982,true,2,2,0,0,0,0,0,13748,12160,48,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler-expert,t07-validate,pass,31.8,31.7,1,90141,8720,4109,77312,0,0.000000,24,9,2950,true,2,2,0,0,0,0,0,14009,12032,116,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler-expert,t08-logsum,pass,19.4,18.9,1,56402,4619,2247,49536,0,0.000000,73,4,2947,true,2,2,0,0,0,0,0,13976,12160,74,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler-expert,t09-poolrace,pass,13,11.4,1,35895,3437,842,31616,0,0.000000,4,1,2965,true,2,2,0,0,0,0,0,13446,12032,65,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler-expert,t10-iniparse,pass,21.2,16.7,1,36844,3351,981,32512,0,0.000000,6,5,2953,true,2,1,1,1,0,0,0,13339,12160,138,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler-expert,t11-asyncbugs,pass,24.1,23.8,1,45763,4476,2119,39168,0,0.000000,5,10,2950,true,2,1,0,0,0,0,1,13898,12160,484,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler-expert,t12-refactor,pass,11.8,11.4,1,37479,3596,1115,32768,0,0.000000,2,4,2956,true,2,2,0,0,0,0,0,13740,12160,77,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler-expert,t13-batchrename,pass,12.5,12.1,1,37436,9395,521,27520,0,0.000000,27,27,2972,true,1,1,0,0,0,0,0,6193,0,33,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler-expert,t14-todosweep,pass,8.1,8,1,23716,2030,438,21248,0,0.000000,18,0,2965,true,1,1,0,0,0,0,0,6245,6016,36,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler-expert,t15-pollstats,pass,155.2,154.7,1,272824,9409,13431,249984,0,0.000000,1,0,2977,false,1,0,1,1,0,0,0,6193,6016,141,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler-expert,t16-apisum,pass,127.4,126.2,1,22654,7718,344,14592,0,0.000000,16,0,2979,true,1,1,0,0,0,0,0,6218,0,40,full17-flat2-fc2f5d4
deepseek-v4-flash,niffler-expert,t17-doccheck,pass,34.7,34.6,1,123099,7217,4010,111872,0,0.000000,49,0,3057,true,2,1,0,0,0,0,1,13989,12160,209,full17-flat2-fc2f5d4
deepseek-v4-flash,opencode,t01-roman,pass,19.4,19.3,1,69248,483,541,68224,0,0.000410,13,1,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,opencode,t02-jsonrepair,pass,92.3,92.2,1,126905,16706,1655,108544,0,0.005281,127,1,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,opencode,t03-ringbuffer,pass,27.1,26.3,1,91047,16099,836,74112,0,0.002805,15,4,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,opencode,t04-csvbugfix,pass,45,44.9,1,110625,16712,729,93184,0,0.002927,3,3,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,opencode,t05-todostore,pass,30.5,30.3,1,109443,16842,825,91776,0,0.002853,19,4,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,opencode,t06-stackvm,pass,110.6,110.4,1,286452,22093,3111,261248,0,0.007966,143,53,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,opencode,t07-validate,pass,56.1,56,1,149727,23596,1203,124928,0,0.005408,10,11,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,opencode,t08-logsum,pass,41.3,40.8,1,119767,17558,1473,100736,0,0.003850,45,2,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,opencode,t09-poolrace,pass,24.5,24.4,1,92506,16337,777,75392,0,0.002897,8,1,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,opencode,t10-iniparse,pass,63.2,60.9,1,134065,17689,1048,115328,0,0.003309,6,5,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,opencode,t11-asyncbugs,pass,47.7,47.4,1,114321,17150,1043,96128,0,0.003514,5,10,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,opencode,t12-refactor,pass,20.2,20.1,1,91854,16746,740,74368,0,0.002783,2,4,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,opencode,t13-batchrename,pass,17.3,17,1,77541,18591,326,58624,0,0.002866,27,27,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,opencode,t14-todosweep,pass,35.6,35.6,1,140492,18061,1343,121088,0,0.003696,18,0,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,opencode,t15-pollstats,pass,24.7,24.3,1,105755,16028,383,89344,0,0.002605,1,0,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,opencode,t16-apisum,pass,21.3,20.1,1,70952,15939,357,54656,0,0.002500,12,0,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,opencode,t17-doccheck,pass,97.9,97.5,1,285842,17157,2957,265728,0,0.005573,124,0,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,pi,t01-roman,pass,8.1,8,1,9618,666,504,8448,0,0.001000,21,1,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,pi,t02-jsonrepair,pass,36.9,36.8,1,26188,7206,4646,14336,0,0.007737,142,1,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,pi,t03-ringbuffer,pass,12.8,11.9,1,13934,2057,869,11008,0,0.001881,16,4,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,pi,t04-csvbugfix,pass,30.6,30.5,1,18671,2635,1188,14848,0,0.002516,3,3,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,pi,t05-todostore,pass,107.8,107.6,1,14841,2940,765,11136,0,0.002016,18,4,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,pi,t06-stackvm,pass,61.3,61.2,1,106925,7214,8703,91008,0,0.014511,143,42,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,pi,t07-validate,pass,20.7,20.6,1,21755,2976,2907,15872,0,0.004601,20,10,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,pi,t08-logsum,pass,26,25.7,1,47529,4049,3160,40320,0,0.005877,72,2,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,pi,t09-poolrace,pass,11,10.9,1,14698,2248,802,11648,0,0.001877,9,2,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,pi,t10-iniparse,pass,21.4,19.2,1,18772,3048,1644,14080,0,0.003131,10,6,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,pi,t11-asyncbugs,pass,12.9,12.6,1,17793,2900,1581,13312,0,0.002996,6,10,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,pi,t12-refactor,pass,9.8,9.6,1,15750,2505,1085,12160,0,0.002286,2,4,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,pi,t13-batchrename,pass,10,9.7,1,18772,3613,823,14336,0,0.002362,27,27,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
deepseek-v4-flash,pi,t14-todosweep,pass,12.3,12.2,1,18123,2953,1346,13824,0,0.002757,18,0,,false,0,0,0,0,0,0,0,0,0,0,full17-pioc-5aa8c97
