model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
syn-large,niffler,t01-roman,pass,25,24.8,1,18277,4553,540,13184,0,0.001480,19,1,1705,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t02-jsonrepair,pass,112.5,112.3,1,37677,5753,6004,25920,0,0.004902,107,1,1747,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t03-ringbuffer,pass,105.4,105,1,13962,4696,626,8640,0,0.001363,16,4,1721,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t04-csvbugfix,pass,62.2,62.1,1,17433,5178,607,11648,0,0.001546,3,3,1678,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t05-todostore,pass,82.7,82.5,1,15281,3760,1025,10496,0,0.001496,19,4,1663,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t06-stackvm,pass,298.4,298.1,1,106706,6392,18522,81792,0,0.013491,208,61,1704,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t07-validate,pass,292,291.8,1,23258,3406,1420,18432,0,0.001958,8,12,1674,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t08-logsum,pass,103.8,103.6,1,27948,5853,4111,17984,0,0.003653,77,3,1670,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t09-poolrace,pass,96.9,95.6,1,22004,4557,935,16512,0,0.001812,4,1,1689,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t10-iniparse,pass,65.8,64.7,1,24929,4549,1564,18816,0,0.002217,6,5,1677,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t11-asyncbugs,pass,60.8,60.5,1,14335,3377,846,10112,0,0.001334,4,5,1674,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t12-refactor,pass,39,38.7,1,13875,1756,663,11456,0,0.001053,2,4,1677,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t13-batchrename,pass,155.6,155.3,1,116808,7847,5729,103232,0,0.008171,27,27,1694,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t14-todosweep,pass,165,164.9,1,25001,3173,1348,20480,0,0.001969,18,0,1687,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t15-pollstats,pass,404.9,404.6,1,280039,16972,12571,250496,0,0.018851,1,0,1699,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t16-apisum,pass,415.6,414.4,1,16345,1726,411,14208,0,0.001033,24,0,1701,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t17-doccheck,pass,219.5,219.1,1,87923,4651,10952,72320,0,0.009066,164,0,1779,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t18-lruttl,pass,242.3,242.1,1,41811,6039,3516,32256,0,0.003954,124,12,1687,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t19-tokbucket,pass,88.6,88.5,1,16904,2728,608,13568,0,0.001256,25,16,1661,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t20-jsonpatch,pass,182.2,182,1,47399,4039,9824,33536,0,0.006859,176,11,1684,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t21-wireproto,pass,248.8,248.5,1,55313,5142,6395,43776,0,0.005720,64,8,1664,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t22-cronnext,pass,333,332.8,1,132557,6408,17285,108864,0,0.013958,128,13,1683,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t23-mergesched,pass,332.4,332.1,1,45117,4808,5173,35136,0,0.004713,77,4,1662,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t24-editops,pass,1283.4,274.4,1,48489,13470,10187,24832,0,0.008107,100,6,1676,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t25-shardmap,pass,998.4,997,1,24523,4737,1034,18752,0,0.001978,85,16,1679,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t26-logfilter,pass,328.6,328.5,1,44000,19549,9795,14656,0,0.008416,214,4,1652,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t27-tarpeek,pass,392.8,392.3,1,163957,17181,14744,132032,0,0.015230,84,4,1674,false,0,0,0,0,0,0,0,0,0,0
