model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
syn-large,niffler,t01-roman,pass,36.3,36,1,15032,3116,332,11584,0,0.001097,19,1,2497,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t02-jsonrepair,pass,53.5,53.4,1,20395,3870,589,15936,0,0.001512,48,10,2539,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t03-ringbuffer,pass,39.5,38.7,1,16862,3427,827,12608,0,0.001432,13,4,2513,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t04-csvbugfix,pass,169.7,169.6,1,17162,4028,398,12736,0,0.001313,3,3,2470,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t05-todostore,pass,103.1,102.9,1,12569,5858,439,6272,0,0.001349,18,4,2455,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t06-stackvm,pass,202,201.6,1,138029,17865,4260,115904,0,0.009446,139,37,2496,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t07-validate,pass,145.2,145.1,1,19686,10335,967,8384,0,0.002369,19,7,2466,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t08-logsum,pass,54.1,53.7,1,17708,1610,546,15552,0,0.001137,43,3,2462,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t09-poolrace,pass,27,25.5,1,11758,3195,371,8192,0,0.000992,4,1,2481,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t10-iniparse,pass,65.3,62.9,1,14038,6139,539,7360,0,0.001485,5,6,2469,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t11-asyncbugs,pass,82.1,81.8,1,31887,5908,891,25088,0,0.002335,6,11,2466,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t12-refactor,pass,56.6,56.2,1,15038,1164,242,13632,0,0.000841,2,4,2469,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t13-batchrename,pass,52.6,52.2,1,8169,680,129,7360,0,0.000461,27,27,2486,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t14-todosweep,pass,19.4,19.4,1,9250,4537,105,4608,0,0.000917,18,0,2479,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t15-pollstats,pass,26.2,25.8,1,8123,743,148,7232,0,0.000475,1,0,2491,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t16-apisum,pass,22.9,21.6,1,11666,1066,168,10432,0,0.000661,12,0,2493,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t17-doccheck,pass,50.3,50.2,1,49424,2368,1296,45760,0,0.002834,31,0,2571,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t18-lruttl,pass,34.6,34.2,1,19859,3799,1148,14912,0,0.001740,84,12,2479,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t19-tokbucket,pass,50.2,50.1,1,28383,5063,600,22720,0,0.001968,19,14,2453,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t20-jsonpatch,pass,49.8,49.6,1,26722,3665,1937,21120,0,0.002363,149,16,2476,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t21-wireproto,pass,30.3,29.9,1,28376,3116,1004,24256,0,0.001940,54,8,2456,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t22-cronnext,pass,171.2,171.1,1,39114,1038,4156,33920,0,0.003590,96,17,2475,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t23-mergesched,pass,69.7,69.4,1,13433,3460,757,9216,0,0.001266,62,4,2454,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t24-editops,pass,150.1,149.9,1,33016,6696,2448,23872,0,0.003183,65,15,2468,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t25-shardmap,pass,88.6,87,1,16798,6722,732,9344,0,0.001748,89,30,2471,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t26-logfilter,pass,49.8,49.7,1,44951,3656,2319,38976,0,0.003267,192,4,2444,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t27-tarpeek,pass,75.2,74.4,1,70150,6493,1577,62080,0,0.004246,59,2,2466,false,0,0,0,0,0,0,0,0,0,0
