model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
syn-large,niffler,t01-roman,pass,10.1,9.9,1,8569,4031,250,4288,0,0.000901,13,4,1705,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t02-jsonrepair,pass,81.4,81.2,1,53067,9576,2083,41408,0,0.004134,79,10,1747,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t03-ringbuffer,pass,90.2,89.6,1,9246,2474,436,6336,0,0.000843,13,4,1721,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t04-csvbugfix,pass,40,39.8,1,12135,3010,229,8896,0,0.000922,3,3,1678,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t05-todostore,pass,35.5,35.3,1,9058,4260,382,4416,0,0.001007,16,4,1663,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t06-stackvm,pass,60.3,60,1,28635,4319,2556,21760,0,0.002796,163,49,1704,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t07-validate,pass,71.4,71.2,1,24478,4368,718,19392,0,0.001790,7,12,1674,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t08-logsum,pass,43.7,43.3,1,16857,1901,556,14400,0,0.001139,42,2,1670,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t09-poolrace,pass,29.4,27.8,1,8462,2348,354,5760,0,0.000760,15,12,1689,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t10-iniparse,pass,32,29.3,1,14179,1933,406,11840,0,0.000967,9,6,1677,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t11-asyncbugs,pass,43.5,43.2,1,16491,2221,510,13760,0,0.001139,6,17,1674,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t12-refactor,pass,36.1,35.8,1,9732,1025,323,8384,0,0.000651,2,4,1677,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t13-batchrename,pass,46.7,46.3,1,38660,5577,571,32512,0,0.002423,27,27,1694,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t14-todosweep,pass,41.6,41.5,1,9083,1366,165,7552,0,0.000589,18,0,1687,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t15-pollstats,pass,18.3,17.8,1,7882,809,161,6912,0,0.000478,1,0,1699,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t16-apisum,pass,27.8,26.5,1,11096,1062,178,9856,0,0.000643,14,0,1701,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t17-doccheck,pass,67.9,67.2,1,45885,2901,1832,41152,0,0.002997,73,0,1779,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t18-lruttl,pass,75.5,75.2,1,11786,1213,973,9600,0,0.001052,85,12,1687,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t19-tokbucket,pass,38.3,38.1,1,12639,1688,455,10496,0,0.000901,19,25,1661,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t20-jsonpatch,pass,59.5,59.2,1,39705,7186,2311,30208,0,0.003442,167,20,1684,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t21-wireproto,pass,70.9,70.5,1,18559,3020,1011,14528,0,0.001540,62,8,1664,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t22-cronnext,pass,63.8,63.6,1,35152,4380,1716,29056,0,0.002677,100,17,1683,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t23-mergesched,pass,56.5,56,1,10591,972,787,8832,0,0.000893,63,4,1662,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t24-editops,pass,81.2,81,1,53792,4108,3220,46464,0,0.004085,53,14,1676,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t25-shardmap,pass,93.3,91.9,1,14733,1361,892,12480,0,0.001149,77,16,1679,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t26-logfilter,pass,88.1,88,1,23230,2185,2293,18752,0,0.002224,198,4,1652,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t27-tarpeek,pass,106.9,106,1,33956,3860,1296,28800,0,0.002379,51,1,1674,false,0,0,0,0,0,0,0,0,0,0
