model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens,turns,toolCalls,readSingle,readBatch,grepCalls,bashCalls,editCalls,writeCalls
syn-large,claudecode,t01-roman,pass,24.2,24.1,1,25211,0,160,17566,7485,0.000783,13,1,6139,false,0,0,0,0,0,0,0,0,0,0,4,3,1,0,,1,,1
syn-large,claudecode,t02-jsonrepair,pass,38,38,1,36627,0,546,20665,15416,0.001100,69,1,6157,false,0,0,0,0,0,0,0,0,0,0,8,6,3,0,,2,,1
syn-large,claudecode,t03-ringbuffer,pass,55.6,55.1,1,32812,0,286,29259,3267,0.001313,15,4,6147,false,0,0,0,0,0,0,0,0,0,0,6,5,2,0,,2,,1
syn-large,claudecode,t04-csvbugfix,pass,31.5,31.4,1,39071,0,193,29503,9375,0.001277,3,3,6131,false,0,0,0,0,0,0,0,0,0,0,10,6,2,0,,3,1,
syn-large,claudecode,t05-todostore,pass,38.8,38.6,1,33112,0,287,25057,7768,0.001146,16,4,6125,false,0,0,0,0,0,0,0,0,0,0,6,5,2,0,,2,,1
syn-large,claudecode,t06-stackvm,pass,155.8,155.7,1,62535,0,2000,47526,13009,0.002901,150,38,6139,false,0,0,0,0,0,0,0,0,0,0,15,9,4,0,,2,,3
syn-large,claudecode,t07-validate,pass,49.5,49.4,1,54449,0,581,39605,14263,0.001875,14,9,6126,false,0,0,0,0,0,0,0,0,0,0,13,8,2,0,,4,1,1
syn-large,claudecode,t08-logsum,pass,66,65.8,1,81591,0,729,75840,5022,0.003398,50,2,6125,false,0,0,0,0,0,0,0,0,0,0,18,13,6,0,,4,2,1
syn-large,claudecode,t09-poolrace,pass,26.3,26.2,1,25628,0,228,22632,2768,0.001019,4,1,6134,false,0,0,0,0,0,0,0,0,0,0,6,4,1,0,,2,1,
syn-large,claudecode,t10-iniparse,pass,43.9,42.6,1,40825,0,504,32116,8205,0.001537,6,5,6130,false,0,0,0,0,0,0,0,0,0,0,10,6,3,0,,2,1,
syn-large,claudecode,t11-asyncbugs,pass,37.8,37.6,1,33513,0,390,25002,8121,0.001195,6,5,6128,false,0,0,0,0,0,0,0,0,0,0,11,7,1,0,,3,3,
syn-large,claudecode,t12-refactor,pass,25.6,25.5,1,32475,0,247,30419,1809,0.001340,2,4,6128,false,0,0,0,0,0,0,0,0,0,0,9,5,2,0,,2,1,
syn-large,claudecode,t13-batchrename,pass,20.3,20.2,1,26734,0,201,24572,1961,0.001083,27,27,6136,false,0,0,0,0,0,0,0,0,0,0,6,3,0,0,,3,,
syn-large,claudecode,t14-todosweep,pass,38.1,38,1,19646,0,104,16490,3052,0.000712,18,0,6134,false,0,0,0,0,0,0,0,0,0,0,6,3,1,0,,2,,
syn-large,claudecode,t15-pollstats,pass,26.1,25.9,1,31635,0,152,18322,13161,0.000809,1,0,6139,false,0,0,0,0,0,0,0,0,0,0,7,5,1,0,,4,,
syn-large,claudecode,t16-apisum,pass,31.6,30.5,1,32118,0,197,30283,1638,0.001310,21,0,6139,false,0,0,0,0,0,0,0,0,0,0,7,6,3,0,,2,,1
syn-large,claudecode,t17-doccheck,pass,57.4,57.2,1,70240,0,721,64527,4992,0.002942,97,0,6171,false,0,0,0,0,0,0,0,0,0,0,16,10,0,0,,6,2,2
syn-large,claudecode,t18-lruttl,pass,52.9,52.8,1,43605,0,618,34351,8636,0.001683,100,12,6133,false,0,0,0,0,0,0,0,0,0,0,9,6,3,0,,1,1,1
syn-large,claudecode,t19-tokbucket,pass,29.6,29.6,1,26541,0,323,23198,3020,0.001089,25,16,6123,false,0,0,0,0,0,0,0,0,0,0,6,4,2,0,,1,1,
syn-large,claudecode,t20-jsonpatch,pass,225.8,225.7,1,52588,0,2637,41167,8784,0.002965,173,9,6131,false,0,0,0,0,0,0,0,0,0,0,10,7,4,0,,2,,1
syn-large,claudecode,t21-wireproto,pass,98.6,98.5,1,45552,0,1300,40548,3704,0.002272,61,8,6123,false,0,0,0,0,0,0,0,0,0,0,12,7,3,0,,2,1,1
syn-large,claudecode,t22-cronnext,pass,115.7,115.7,1,71823,0,2188,47445,22190,0.002992,89,12,6131,false,0,0,0,0,0,0,0,0,0,0,15,9,3,0,,3,1,2
syn-large,claudecode,t23-mergesched,pass,32.4,32.3,1,26467,0,433,21447,4587,0.001074,72,4,6124,false,0,0,0,0,0,0,0,0,0,0,6,4,2,0,,1,,1
syn-large,claudecode,t24-editops,pass,104.7,104.6,1,100669,0,2106,91951,6612,0.004731,87,6,6128,false,0,0,0,0,0,0,0,0,0,0,20,11,0,0,,7,3,1
syn-large,claudecode,t25-shardmap,pass,58.4,58.3,1,50078,0,520,43432,6126,0.001997,78,16,6131,false,0,0,0,0,0,0,0,0,0,0,9,8,3,0,,3,1,1
syn-large,claudecode,t26-logfilter,pass,176.3,176.3,1,41809,0,2449,29770,9590,0.002415,216,4,6117,false,0,0,0,0,0,0,0,0,0,0,8,5,3,0,,1,,1
syn-large,claudecode,t27-tarpeek,pass,61.7,61.2,1,58638,0,957,52429,5252,0.002576,57,1,6128,false,0,0,0,0,0,0,0,0,0,0,13,8,4,0,,3,1,
syn-large,claudecode,t28-docbackfill,pass,39.7,39.6,1,32608,0,215,29341,3052,0.001281,18,9,6152,false,0,0,0,0,0,0,0,0,0,0,8,4,0,0,,4,,
