model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens,turns,toolCalls,readSingle,readBatch,grepCalls,bashCalls,editCalls,writeCalls
deepseek-v4-flash,niffler,t01-roman,pass,8.1,7.8,1,17654,3891,707,13056,0,0.002273,15,1,2226,false,0,0,0,0,0,0,0,0,0,0,5,6,2,0,,3,1,
deepseek-v4-flash,niffler,t02-jsonrepair,pass,37.5,37.3,1,76449,4129,4992,67328,0,0.008745,90,1,2276,false,0,0,0,0,0,0,0,0,0,0,11,12,2,0,,6,3,1
deepseek-v4-flash,niffler,t03-ringbuffer,pass,50.1,49.4,1,24750,2027,1731,20992,0,0.003135,20,4,2245,false,0,0,0,0,0,0,0,0,0,0,6,7,2,0,,4,,1
deepseek-v4-flash,niffler,t04-csvbugfix,pass,30.6,30.4,1,28190,2833,909,24448,0,0.002523,3,3,2202,false,0,0,0,0,0,0,0,0,0,0,7,9,0,0,,8,1,
deepseek-v4-flash,niffler,t05-todostore,pass,23.5,23.3,1,27345,2599,1962,22784,0,0.003610,22,4,2186,false,0,0,0,0,0,0,0,0,0,0,6,6,1,0,,4,,1
deepseek-v4-flash,niffler,t06-stackvm,pass,36.1,35.8,1,44858,6759,4947,33152,0,0.008481,160,80,2229,false,0,0,0,0,0,0,0,0,0,0,5,9,4,0,,3,,2
deepseek-v4-flash,niffler,t07-validate,pass,36,35.9,1,34451,3423,1972,29056,0,0.004030,21,10,2197,false,0,0,0,0,0,0,0,0,0,0,7,8,0,0,,7,,1
deepseek-v4-flash,niffler,t08-logsum,pass,62.2,61.7,1,107965,5898,8883,93184,0,0.014405,73,3,2194,false,0,0,0,0,0,0,0,0,0,0,11,19,9,0,,8,,2
deepseek-v4-flash,niffler,t09-poolrace,pass,67.9,66.5,1,31756,3393,1355,27008,0,0.003261,9,4,2212,false,0,0,0,0,0,0,0,0,0,0,7,8,1,0,,6,,1
deepseek-v4-flash,niffler,t10-iniparse,pass,38.7,37.3,1,41075,3694,1925,35456,0,0.004233,8,6,2200,false,0,0,0,0,0,0,0,0,0,0,8,10,3,0,,6,,1
deepseek-v4-flash,niffler,t11-asyncbugs,pass,29,28.7,1,24665,2456,1473,20736,0,0.002955,7,10,2197,false,0,0,0,0,0,0,0,0,0,0,6,7,2,0,,4,,1
deepseek-v4-flash,niffler,t12-refactor,pass,17.7,17.4,1,18925,2492,817,15616,0,0.002074,2,4,2203,false,0,0,0,0,0,0,0,0,0,0,5,5,1,0,,3,1,
deepseek-v4-flash,niffler,t13-batchrename,pass,21.1,20.8,1,58736,8113,1215,49408,0,0.005065,27,27,2219,false,0,0,0,0,0,0,0,0,0,0,7,9,2,0,1,4,,
deepseek-v4-flash,niffler,t14-todosweep,pass,32.6,32.5,1,47954,3180,3174,41600,0,0.005683,18,0,2212,false,0,0,0,0,0,0,0,0,0,0,8,14,7,0,,5,,2
deepseek-v4-flash,niffler,t15-pollstats,pass,47.4,47.1,1,52811,5559,3604,43648,0,0.006904,1,0,2224,false,0,0,0,0,0,0,0,0,0,0,8,8,2,0,,2,,
deepseek-v4-flash,niffler,t16-apisum,pass,37.5,36.3,1,17437,2089,628,14720,0,0.001719,26,0,2226,false,0,0,0,0,0,0,0,0,0,0,5,8,4,0,,3,,1
deepseek-v4-flash,niffler,t17-doccheck,pass,56,55.4,1,105451,4602,8049,92800,0,0.013077,155,0,2304,false,0,0,0,0,0,0,0,0,0,0,11,20,0,0,,8,9,3
deepseek-v4-flash,niffler,t18-lruttl,pass,75.7,75.3,1,91238,5032,5182,81024,0,0.009600,123,12,2211,false,0,0,0,0,0,0,0,0,0,0,11,10,1,0,,6,1,2
deepseek-v4-flash,niffler,t19-tokbucket,pass,37.6,37.5,1,22804,3250,1122,18432,0,0.002715,25,11,2189,false,0,0,0,0,0,0,0,0,0,0,5,7,4,0,,2,1,
deepseek-v4-flash,niffler,t20-jsonpatch,pass,80.7,80.5,1,256466,7010,16624,232832,0,0.027454,288,10,2207,false,0,0,0,0,0,0,0,0,0,0,15,15,2,0,,8,3,2
deepseek-v4-flash,niffler,t21-wireproto,pass,93.1,92.8,1,47603,4072,3851,39680,0,0.006654,71,8,2190,false,0,0,0,0,0,0,0,0,0,0,7,9,3,0,,5,,1
deepseek-v4-flash,niffler,t22-cronnext,pass,65.1,64.9,1,126946,5776,10450,110720,0,0.016648,113,17,2208,false,0,0,0,0,0,0,0,0,0,0,11,13,4,0,,7,1,1
deepseek-v4-flash,niffler,t23-mergesched,pass,77.3,77,1,100077,4300,5537,90240,0,0.010056,74,4,2188,false,0,0,0,0,0,0,0,0,0,0,13,16,6,0,,7,1,2
deepseek-v4-flash,niffler,t24-editops,pass,108.7,108.4,1,267317,7594,13323,246400,0,0.024237,180,11,2200,false,0,0,0,0,0,0,0,0,0,0,18,18,3,0,,10,2,3
deepseek-v4-flash,niffler,t25-shardmap,pass,91.5,90,1,43900,5061,1847,36992,0,0.004574,84,16,2204,false,0,0,0,0,0,0,0,0,0,0,7,9,3,0,,5,,1
deepseek-v4-flash,niffler,t26-logfilter,pass,50.9,50.7,1,54114,3790,7828,42496,0,0.011186,276,4,2176,false,0,0,0,0,0,0,0,0,0,0,6,8,4,0,,3,,1
deepseek-v4-flash,niffler,t27-tarpeek,pass,104.6,102.6,1,258612,11676,11928,235008,0,0.023482,114,4,2203,false,0,0,0,0,0,0,0,0,0,0,14,17,4,0,,10,1,2
deepseek-v4-flash,niffler,t28-docbackfill,error,71.5,71.1,1,6028,1466,210,4352,0,0.000776,0,0,2258,false,0,0,0,0,0,0,0,0,0,0,2,4,2,0,,2,,
deepseek-v4-flash,niffler,t29-logrollup,error,2.7,2.6,1,0,0,0,0,0,0.000000,0,0,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
deepseek-v4-flash,niffler,t30-ifacedrift,error,1.4,1.3,1,0,0,0,0,0,0.000000,0,0,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
