model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
deepseek-v4.1-flash,niffler,t01-roman,pass,6.4,6.2,1,11437,1375,462,9600,0,0.000000,30,1,1896,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t02-jsonrepair,pass,30.5,30.3,1,52863,3723,3188,45952,0,0.000000,92,1,1946,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t03-ringbuffer,pass,41.1,40.1,1,25760,2071,1417,22272,0,0.000000,19,4,1915,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t04-csvbugfix,pass,25.5,25.3,1,21275,2551,548,18176,0,0.000000,3,3,1872,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t05-todostore,pass,19.1,18.9,1,21834,2814,844,18176,0,0.000000,19,4,1856,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t06-stackvm,pass,66.9,66.7,1,172661,7221,11712,153728,0,0.000000,216,64,1899,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t07-validate,pass,73.6,73.4,1,41403,4542,2045,34816,0,0.000000,12,8,1867,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t08-logsum,pass,46.6,46.4,1,72972,4667,4177,64128,0,0.000000,84,5,1864,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t09-poolrace,pass,42.8,41.5,1,20093,1881,932,17280,0,0.000000,10,4,1882,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t10-iniparse,pass,38.1,37.1,1,45338,3942,2868,38528,0,0.000000,8,7,1870,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t11-asyncbugs,pass,35.7,35.5,1,29677,3198,1391,25088,0,0.000000,7,5,1867,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t12-refactor,pass,21.6,21.4,1,26365,3891,714,21760,0,0.000000,2,4,1873,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t13-batchrename,pass,21.1,20.8,1,30860,4752,764,25344,0,0.000000,27,27,1889,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t14-todosweep,pass,26.1,25.9,1,34157,3206,2023,28928,0,0.000000,18,0,1882,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t15-pollstats,pass,36.1,35.8,1,38665,8284,2733,27648,0,0.000000,1,0,1894,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t16-apisum,pass,28.9,27.7,1,13637,2232,525,10880,0,0.000000,22,0,1896,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t17-doccheck,pass,73,72.6,1,172728,5208,11104,156416,0,0.000000,181,0,1974,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t18-lruttl,pass,89.8,89.5,1,56283,4396,4271,47616,0,0.000000,122,12,1881,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t19-tokbucket,pass,33,32.9,1,17860,3301,991,13568,0,0.000000,24,11,1859,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t20-jsonpatch,pass,73,72.8,1,232209,7202,13039,211968,0,0.000000,268,13,1877,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t21-wireproto,pass,87.2,86.9,1,46022,4072,3934,38016,0,0.000000,73,8,1860,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t22-cronnext,pass,49.6,49.4,1,46941,4500,5321,37120,0,0.000000,96,17,1878,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t23-mergesched,pass,40.1,39.9,1,25855,3271,1848,20736,0,0.000000,82,4,1858,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t24-editops,pass,63.7,63.6,1,94870,4411,10459,80000,0,0.000000,125,6,1870,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t25-shardmap,pass,67.1,65.8,1,28562,3495,1643,23424,0,0.000000,81,16,1874,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t26-logfilter,pass,78.2,78.1,1,198199,7437,13226,177536,0,0.000000,350,4,1846,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t27-tarpeek,pass,126.3,125.5,1,337928,15262,10090,312576,0,0.000000,86,1,1873,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t28-docbackfill,pass,85.2,85,1,70021,6827,2394,60800,0,0.000000,18,9,1928,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t29-logrollup,pass,46.8,46.6,1,59314,5873,2241,51200,0,0.000000,436,0,1913,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t30-ifacedrift,pass,45.5,45.4,1,74340,8705,2275,63360,0,0.000000,48,48,1911,false,0,0,0,0,0,0,0,0,0,0
