model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
deepseek-v4.1-flash,niffler,t01-roman,pass,8.5,8.2,1,16820,3826,578,12416,0,0.000000,32,1,1896,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t02-jsonrepair,pass,22.2,22.2,1,54038,4702,3128,46208,0,0.000000,85,1,1946,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t03-ringbuffer,pass,35.1,33.9,1,40272,2954,2374,34944,0,0.000000,20,4,1915,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t04-csvbugfix,pass,10.6,10.5,1,21222,2670,888,17664,0,0.000000,3,3,1872,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t05-todostore,pass,18.4,18.2,1,16780,2249,835,13696,0,0.000000,19,4,1856,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t06-stackvm,pass,47.5,47.3,1,128485,7167,10470,110848,0,0.000000,194,78,1899,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t07-validate,pass,29.5,29.4,1,22324,3025,1891,17408,0,0.000000,17,8,1867,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t08-logsum,pass,54.8,54.6,1,219066,10539,8335,200192,0,0.000000,78,3,1864,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t09-poolrace,pass,53,51.8,1,37737,4577,1544,31616,0,0.000000,6,1,1882,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,t10-iniparse,pass,20,18.9,1,36154,3679,1499,30976,0,0.000000,8,7,1870,false,0,0,0,0,0,0,0,0,0,0
