model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,costOfficialUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens,turns,toolCalls,readSingle,readBatch,grepCalls,bashCalls,editCalls,writeCalls
syn-large,niffler,t01-roman,pass,15.3,14.6,1,10607,5005,354,5248,0,0.001138,,13,1,2309,false,0,0,0,0,0,0,0,0,0,0,4,3,1,0,,1,,1
syn-large,niffler,t02-jsonrepair,pass,40.5,39.3,1,15610,5665,601,9344,0,0.001524,,58,10,2351,false,0,0,0,0,0,0,0,0,0,0,5,4,0,0,,3,,1
syn-large,niffler,t03-ringbuffer,pass,44.6,43.2,1,11733,3319,414,8000,0,0.001025,,15,4,2325,false,0,0,0,0,0,0,0,0,0,0,4,4,1,0,,2,,1
syn-large,niffler,t04-csvbugfix,pass,37.6,37.4,1,14560,1297,207,13056,0,0.000820,,3,3,2282,false,0,0,0,0,0,0,0,0,0,0,5,4,1,0,,2,1,
syn-large,niffler,t05-todostore,pass,34.8,34.4,1,11227,3287,324,7616,0,0.000960,,16,15,2267,false,0,0,0,0,0,0,0,0,0,0,4,3,1,0,,1,,1
syn-large,niffler,t06-stackvm,pass,58.2,56.9,1,26241,7456,2081,16704,0,0.002827,,120,71,2308,false,0,0,0,0,0,0,0,0,0,0,5,5,0,0,,3,,2
syn-large,niffler,t07-validate,pass,56,55.3,1,14490,4250,384,9856,0,0.001224,,7,8,2278,false,0,0,0,0,0,0,0,0,0,0,4,3,0,0,,2,,1
syn-large,niffler,t08-logsum,pass,39.6,39,1,25155,4921,650,19584,0,0.001847,,42,2,2274,false,0,0,0,0,0,0,0,0,0,0,7,6,0,0,,4,1,1
syn-large,niffler,t09-poolrace,pass,44.2,42.6,1,10975,3148,211,7616,0,0.000882,,4,1,2293,false,0,0,0,0,0,0,0,0,0,0,4,3,1,0,,1,1,
syn-large,niffler,t10-iniparse,pass,59.2,56.3,1,30027,2647,564,26816,0,0.001752,,8,5,2281,false,0,0,0,0,0,0,0,0,0,0,8,7,1,0,,5,,1
syn-large,niffler,t11-asyncbugs,pass,81.2,80.8,1,41558,5487,1191,34880,0,0.002814,,7,6,2278,false,0,0,0,0,0,0,0,0,0,0,10,9,0,0,,5,3,1
syn-large,niffler,t12-refactor,pass,51.7,51.2,1,12077,3504,317,8256,0,0.001014,,2,4,2281,false,0,0,0,0,0,0,0,0,0,0,4,3,0,0,,2,1,
syn-large,niffler,t13-batchrename,pass,17.9,17.4,1,8116,976,100,7040,0,0.000478,,27,27,2298,false,0,0,0,0,0,0,0,0,0,0,3,2,0,0,,2,,
