model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
deepseek-v4-flash,niffler,t01-roman,pass,24.7,24.2,2,60394,14007,563,45824,0,0.000000,13,1,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t02-jsonrepair,pass,38.6,38.5,1,88722,7420,4886,76416,0,0.000000,75,1,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t03-ringbuffer,pass,19.1,18.2,1,77593,1549,1292,74752,0,0.000000,15,4,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t04-csvbugfix,pass,15,14.9,1,112302,2759,1383,108160,0,0.000000,3,3,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t05-todostore,pass,10.6,10.4,1,78191,2038,1017,75136,0,0.000000,21,4,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,t06-stackvm,pass,79.4,79.2,1,156849,6305,12816,137728,0,0.000000,115,27,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler-expert,t01-roman,pass,78,77.9,1,79669,15785,11596,52288,0,0.000000,13,1,true,4,3,1,1,0,0,0,8435,6592,10894
deepseek-v4-flash,niffler-expert,t02-jsonrepair,pass,104,103.9,1,310791,20551,13248,276992,0,0.000000,96,1,true,8,7,1,1,0,0,0,29402,18816,5070
deepseek-v4-flash,niffler-expert,t03-ringbuffer,pass,23.6,22.8,1,87211,3739,2512,80960,0,0.000000,16,4,true,3,3,0,0,0,0,0,7917,5824,1212
deepseek-v4-flash,niffler-expert,t04-csvbugfix,pass,46.5,46.4,1,109373,4430,6511,98432,0,0.000000,3,3,true,4,3,1,1,0,0,0,11188,8704,5289
deepseek-v4-flash,niffler-expert,t05-todostore,pass,67.4,67.2,1,98451,4481,10002,83968,0,0.000000,20,4,true,4,3,1,1,0,0,0,9467,7424,8643
