model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions
deepseek-v4-flash,niffler,t01-roman,pass,9.4,8.9,1,36063,572,0,0,0.000000,13,1
deepseek-v4-flash,niffler,t02-jsonrepair,pass,69.7,69.5,1,176922,7867,0,0,0.000000,76,1
deepseek-v4-flash,niffler,t03-ringbuffer,pass,20.5,18.8,1,48433,1217,0,0,0.000000,14,4
deepseek-v4-flash,niffler,t04-csvbugfix,pass,14.3,14.2,1,60107,1401,0,0,0.000000,3,3
deepseek-v4-flash,niffler,t05-todostore,pass,10.3,10,1,48684,850,0,0,0.000000,16,4
deepseek-v4-flash,opencode,t01-roman,pass,19.3,19.2,1,15709,678,54784,0,0.002546,19,1
deepseek-v4-flash,opencode,t02-jsonrepair,pass,36.9,36.8,1,16165,1146,77696,0,0.003368,85,1
deepseek-v4-flash,opencode,t03-ringbuffer,pass,30.5,29.7,1,16502,1047,92800,0,0.002927,16,4
deepseek-v4-flash,opencode,t04-csvbugfix,pass,29,28.9,1,16330,660,109312,0,0.002917,3,3
deepseek-v4-flash,opencode,t05-todostore,pass,21.6,21.4,1,16631,742,73856,0,0.002792,18,4
deepseek-v4-flash,pi,t01-roman,pass,8.4,8.3,1,2635,432,7168,0,0.001439,13,1
deepseek-v4-flash,pi,t02-jsonrepair,pass,59.2,59,1,3105,7091,44416,0,0.010206,92,1
deepseek-v4-flash,pi,t03-ringbuffer,pass,15.5,14.7,1,2460,1254,12416,0,0.002473,17,4
deepseek-v4-flash,pi,t04-csvbugfix,pass,16.6,16.2,1,2704,1505,17152,0,0.002961,3,3
deepseek-v4-flash,pi,t05-todostore,pass,10.9,10.7,1,2697,990,12288,0,0.002236,19,4
glm-5.3-flash,niffler,t01-roman,pass,10.2,10,1,43277,549,0,0,0.000000,19,1
glm-5.3-flash,niffler,t02-jsonrepair,pass,53.7,53.6,1,65430,6669,0,0,0.000000,94,1
glm-5.3-flash,niffler,t03-ringbuffer,pass,17.6,16.7,1,46025,1008,0,0,0.000000,13,4
glm-5.3-flash,niffler,t04-csvbugfix,pass,12,11.9,1,62557,753,0,0,0.000000,3,3
glm-5.3-flash,niffler,t05-todostore,pass,10.6,10.4,1,46463,753,0,0,0.000000,16,4
glm-5.3-flash,opencode,t01-roman,pass,27.2,26.8,1,83020,434,0,0,0.010975,15,1
glm-5.3-flash,opencode,t02-jsonrepair,pass,36.8,36.7,1,104629,733,0,0,0.014437,64,1
glm-5.3-flash,opencode,t03-ringbuffer,pass,27.3,26.5,1,84197,595,0,0,0.011200,15,4
glm-5.3-flash,opencode,t04-csvbugfix,pass,22,21.9,1,85543,370,0,0,0.011341,3,3
glm-5.3-flash,opencode,t05-todostore,pass,25.1,24.9,1,101541,561,0,0,0.013478,16,4
glm-5.3-flash,pi,t01-roman,pass,9,8.9,1,11176,498,0,0,0.000000,13,1
glm-5.3-flash,pi,t02-jsonrepair,pass,99,98.9,1,143752,8599,0,0,0.000000,120,1
glm-5.3-flash,pi,t03-ringbuffer,pass,14.4,13.6,1,11655,525,0,0,0.000000,13,4
glm-5.3-flash,pi,t04-csvbugfix,pass,8.7,8.6,1,11338,449,0,0,0.000000,3,3
glm-5.3-flash,pi,t05-todostore,pass,11.5,11.2,1,12207,485,0,0,0.000000,16,4
