model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,costOfficialUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens,turns,toolCalls,readSingle,readBatch,grepCalls,bashCalls,editCalls,writeCalls
syn-deepseek-v41,claudecode,axios__axios-4731,pass,58.1,33,1,61601,0,879,45639,15083,0.000664,0.005853534,4,0,6559,false,0,0,0,0,0,0,0,0,0,0,17,7,1,0,,4,2,
syn-deepseek-v41,claudecode,caddyserver__caddy-6115,fail,59.3,34.8,1,71408,0,940,61426,9042,0.000748,0.004209156,5,4,6527,false,0,0,0,0,0,0,0,0,0,0,15,9,3,0,,5,1,
syn-deepseek-v41,claudecode,facebook__docusaurus-10130,pass,119.5,90.2,1,149618,0,2530,133466,13622,0.001918,0.007923396000000001,11,1,6728,false,0,0,0,0,0,0,0,0,0,0,38,13,5,0,,7,1,
syn-deepseek-v41,claudecode,fmtlib__fmt-1683,fail,140.8,61.4,1,168242,0,1543,155614,11085,0.001393,0.006110783999999999,5,1,6469,false,0,0,0,0,0,0,0,0,0,0,30,18,7,0,,10,1,
syn-deepseek-v41,claudecode,gin-gonic__gin-1805,pass,341.7,315.4,1,314503,14335,9088,262507,28573,0.008391,0.025353042000000003,5,1,6471,false,0,0,0,0,0,0,0,0,0,0,47,23,13,0,,9,1,
syn-deepseek-v41,claudecode,jqlang__jq-2235,fail,595.9,529.3,1,584486,0,16559,521888,46039,0.011501,0.036813828,13,3,6438,false,0,0,0,0,0,0,0,0,0,0,98,41,14,0,,24,3,
syn-deepseek-v41,claudecode,nushell__nushell-12901,pass,176.7,134.8,1,329205,0,3693,305400,20112,0.003132,0.012297599999999999,10,0,6604,false,0,0,0,0,0,0,0,0,0,0,60,30,12,0,,15,3,
syn-deepseek-v41,claudecode,redis__redis-10068,pass,254.5,148.5,1,299623,0,4215,277705,17703,0.003362,0.01203513,2,2,6679,false,0,0,0,0,0,0,0,0,0,0,47,22,12,0,,9,1,
syn-deepseek-v41,claudecode,rubocop__rubocop-13362,pass,113.7,89.5,1,140333,0,2338,120049,17946,0.001763,0.008909694,1,1,6611,false,0,0,0,0,0,0,0,0,0,0,32,15,5,0,,9,1,
syn-deepseek-v41,claudecode,tokio-rs__tokio-4384,fail,213.8,190.3,1,287456,0,5717,263266,18473,0.004220,0.013981895999999999,9,0,6794,false,0,0,0,0,0,0,0,0,0,0,49,26,2,0,,23,1,
syn-deepseek-v41,niffler,axios__axios-4731,pass,119.9,96.3,1,156349,18162,6987,131200,0,0.007310,0.0146202,4,0,2760,false,0,0,0,0,0,0,0,0,0,0,13,16,6,0,1,7,2,
syn-deepseek-v41,niffler,caddyserver__caddy-6115,fail,44.6,19.7,1,53376,11338,1334,40704,0,0.002623,0.005246424,5,4,2658,false,0,0,0,0,0,0,0,0,0,0,7,8,3,0,3,1,1,
syn-deepseek-v41,niffler,facebook__docusaurus-10130,pass,163.4,138.1,1,294683,25533,9438,259712,0,0.010272,0.020543772000000002,18,2,3147,false,0,0,0,0,0,0,0,0,0,0,19,22,8,0,1,12,1,
syn-deepseek-v41,niffler,fmtlib__fmt-1683,fail,165.8,90.2,1,601809,33220,4877,563712,0,0.009600,0.019200672,1,1,2543,false,0,0,0,0,0,0,0,0,0,0,25,25,8,0,8,8,1,
syn-deepseek-v41,niffler,gin-gonic__gin-1805,pass,359.6,328.7,1,501111,48465,21158,431488,0,0.021259,0.042518028,1,1,2538,false,0,0,0,0,0,0,0,0,0,0,18,25,14,0,3,7,1,
syn-deepseek-v41,niffler,jqlang__jq-2235,fail,157.3,89.4,1,162834,19024,6722,137088,0,0.007298,0.014596127999999998,2,2,2448,false,0,0,0,0,0,0,0,0,0,0,13,18,7,0,2,8,1,
syn-deepseek-v41,niffler,nushell__nushell-12901,pass,106.2,61.4,1,313015,27512,3903,281600,0,0.007313,0.0146268,7,1,2849,false,0,0,0,0,0,0,0,0,0,0,16,21,7,0,1,9,4,
syn-deepseek-v41,niffler,redis__redis-10068,pass,284.8,177.6,1,350231,27451,8156,314624,0,0.009955,0.019910243999999997,2,2,3045,false,0,0,0,0,0,0,0,0,0,0,17,21,6,0,5,9,1,
syn-deepseek-v41,niffler,rubocop__rubocop-13362,pass,136,112,1,252175,19298,7981,224896,0,0.008358,0.016715976,1,1,2865,false,0,0,0,0,0,0,0,0,0,0,22,22,8,0,3,10,1,
syn-deepseek-v41,niffler,tokio-rs__tokio-4384,fail,208.6,183.7,1,362380,27112,13476,321792,0,0.013118,0.026235552,9,0,3299,false,0,0,0,0,0,0,0,0,0,0,20,26,1,0,,24,1,
syn-deepseek-v41,pi,axios__axios-4731,pass,195.1,171,1,119966,13924,13498,92544,0,0.012539,0.020930063999999998,6,1,,false,0,0,0,0,0,0,0,0,0,0,14,17,7,0,,8,2,
syn-deepseek-v41,pi,caddyserver__caddy-6115,fail,42.4,16.7,1,30134,7023,1351,21760,0,0.002599,0.0038586600000000003,5,4,,false,0,0,0,0,0,0,0,0,0,0,8,7,2,0,,4,1,
syn-deepseek-v41,pi,facebook__docusaurus-10130,pass,363.2,328.6,1,414107,33470,25437,355200,0,0.031947,0.042696599999999994,14,2,,false,0,0,0,0,0,0,0,0,0,0,25,29,3,0,,24,2,
