model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
deepseek-v4-flash,codewhale,sympy__sympy-11618,pass,120.3,80.2,1,410702,207140,9258,194304,0,0.000000,11,2,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,sympy__sympy-12096,pass,442.8,400.9,1,2129016,1057610,48302,1023104,0,0.000000,13,1,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,sympy__sympy-12419,pass,610.1,568.6,1,4366785,2176063,65922,2124800,0,0.000000,2,5,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,sympy__sympy-12481,pass,251.4,212.5,1,1272076,629672,28132,614272,0,0.000000,2,6,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,sympy__sympy-12489,pass,450,412,1,5611195,2791631,52204,2767360,0,0.000000,30,30,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,sympy__sympy-13031,pass,425.2,385.3,1,3831468,1911739,39153,1880576,0,0.000000,6,4,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,sympy__sympy-13091,fail,252,211.4,1,1074204,532160,27100,514944,0,0.000000,5,2,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,sympy__sympy-13372,pass,83.4,14.6,1,102610,55412,1374,45824,0,0.000000,4,0,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,sympy__sympy-13480,pass,102,47.7,1,235388,120547,5145,109696,0,0.000000,1,1,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,codewhale,sympy__sympy-13551,pass,353.2,291.9,1,1395984,688140,38532,669312,0,0.000000,11,4,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,sympy__sympy-11618,pass,61.9,17.9,1,133853,14796,1425,117632,0,0.000000,3,3,3159,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,sympy__sympy-12096,pass,80,38,1,51399,2587,4652,44160,0,0.000000,1,1,3288,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,sympy__sympy-12419,pass,112.3,71.6,1,218132,10429,8535,199168,0,0.000000,2,5,3476,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,sympy__sympy-12481,pass,173,129.2,1,633152,29718,13482,589952,0,0.000000,4,7,3180,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,sympy__sympy-12489,pass,250.1,211.7,1,866677,18153,27276,821248,0,0.000000,25,25,3363,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,sympy__sympy-13031,fail,582.8,582.7,1,2839606,31655,69519,2738432,0,0.000000,0,0,3452,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,sympy__sympy-13091,fail,138,98.4,1,233739,10110,12941,210688,0,0.000000,5,2,3545,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,sympy__sympy-13372,pass,138.6,68.9,1,177425,8871,8810,159744,0,0.000000,4,0,3480,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,sympy__sympy-13480,pass,74,19.8,1,58663,3671,2000,52992,0,0.000000,1,1,3254,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,sympy__sympy-13551,pass,327.8,263.7,1,542954,14603,31967,496384,0,0.000000,10,4,3303,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,sympy__sympy-11618,pass,392.7,352.8,1,1072880,24148,4124,1044608,0,0.018422,10,2,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,sympy__sympy-12096,pass,320.7,279.3,1,1168859,35439,4204,1129216,0,0.017370,1,1,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,sympy__sympy-12419,pass,965.7,926.1,1,5239163,56293,12950,5169920,0,0.048774,2,4,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,sympy__sympy-12481,pass,269.9,230.8,1,855457,29236,3821,822400,0,0.014768,2,6,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,sympy__sympy-12489,pass,659.9,621.5,1,6060326,80213,17361,5962752,0,0.046519,33,33,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,sympy__sympy-13031,pass,626.6,586.4,1,4523395,57567,9508,4456320,0,0.037884,12,8,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,sympy__sympy-13091,pass,471.9,430.8,1,3151563,50369,8714,3092480,0,0.029059,25,9,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,sympy__sympy-13372,pass,110.9,41.6,1,133366,20954,1180,111232,0,0.004060,4,0,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,sympy__sympy-13480,pass,73.1,19.9,1,73926,16722,628,56576,0,0.002764,1,1,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,sympy__sympy-13551,pass,537.8,477.6,1,1566201,36931,3254,1526016,0,0.026105,11,3,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,sympy__sympy-11618,pass,55.1,10,1,19734,2430,1048,16256,0,0.002338,5,2,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,sympy__sympy-12096,pass,214.6,172.1,1,395492,8872,21564,365056,0,0.037315,10,1,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,sympy__sympy-12419,pass,192.7,152.4,1,554544,27520,15920,511104,0,0.040248,4,1,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,sympy__sympy-12481,pass,177.2,138.2,1,315704,10567,18033,287104,0,0.031587,16,5,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,sympy__sympy-12489,pass,373.7,335.4,1,1021735,20787,24948,976000,0,0.061651,23,23,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,sympy__sympy-13031,pass,694.6,652,1,4034562,37151,79203,3918208,0,0.210515,8,6,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,sympy__sympy-13091,fail,183.4,143.4,1,346865,15908,18125,312832,0,0.033924,5,2,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,sympy__sympy-13372,pass,87.5,8.6,1,13062,2578,1012,9472,0,0.002148,4,0,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,sympy__sympy-13480,pass,65.2,11.8,1,20188,2762,1170,16256,0,0.002571,1,1,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,sympy__sympy-13551,pass,180,117.6,1,323565,14195,14202,295168,0,0.028472,10,5,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,codewhale,sympy__sympy-11618,fail,372,332.3,1,271416,150316,10700,110400,0,0.000000,6,1,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,codewhale,sympy__sympy-12096,pass,144.4,102.2,1,144285,76506,2883,64896,0,0.000000,1,1,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,codewhale,sympy__sympy-12419,pass,1706.7,1666.1,1,3214529,1640903,63994,1509632,0,0.000000,2,1,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,codewhale,sympy__sympy-12481,pass,671.6,631.4,1,1005609,510651,22830,472128,0,0.000000,10,6,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,codewhale,sympy__sympy-12489,pass,1664.3,1625.1,1,8344084,4224608,61812,4057664,0,0.000000,28,28,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,codewhale,sympy__sympy-13031,pass,1728.3,1688,1,3044270,1534940,57362,1451968,0,0.000000,8,4,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,codewhale,sympy__sympy-13091,fail,1330.9,1290.1,1,2928638,1496334,42608,1389696,0,0.000000,3,3,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,codewhale,sympy__sympy-13372,pass,170.1,97.8,1,167418,88495,2443,76480,0,0.000000,4,0,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,codewhale,sympy__sympy-13480,pass,131,78.5,1,147873,83297,2176,62400,0,0.000000,1,1,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,codewhale,sympy__sympy-13551,pass,1008.5,941.4,1,2017612,1020695,38197,958720,0,0.000000,13,1,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,sympy__sympy-11618,pass,150.9,109.6,1,68751,24454,1417,42880,0,0.000000,6,2,2959,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,sympy__sympy-12096,pass,75.8,34.8,1,17849,7891,294,9664,0,0.000000,1,1,3061,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,sympy__sympy-12419,pass,687.5,647.3,1,291991,48486,19953,223552,0,0.000000,118,1,3218,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,sympy__sympy-12481,pass,116.4,76.4,1,49617,7080,1065,41472,0,0.000000,4,2,2975,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,sympy__sympy-12489,fail,156.4,116.8,1,64241,9505,2064,52672,0,0.000000,8,8,3147,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,sympy__sympy-13031,pass,849,807.9,1,1078540,61909,25655,990976,0,0.000000,8,4,3176,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,sympy__sympy-13091,fail,80.5,39.6,1,34835,6537,586,27712,0,0.000000,1,1,3317,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,sympy__sympy-13372,pass,105.4,36.9,1,30205,6139,770,23296,0,0.000000,4,0,3239,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,sympy__sympy-13480,pass,87.6,33.8,1,22635,1854,493,20288,0,0.000000,1,1,3038,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,sympy__sympy-13551,pass,320,260,1,88183,24778,8749,54656,0,0.000000,15,1,3089,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,sympy__sympy-11618,pass,468,428,1,393206,52990,1848,338368,0,0.020346,9,2,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,sympy__sympy-12096,pass,437.9,395.8,1,286858,43417,1521,241920,0,0.016382,1,1,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,sympy__sympy-12419,pass,3591.8,1746.7,1,4062218,284844,4574,3772800,0,0.154294,2,5,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,sympy__sympy-12481,pass,286.5,247.4,1,471937,47961,2664,421312,0,0.019502,10,5,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,sympy__sympy-12489,pass,910.9,872.6,1,1288341,154715,7034,1126592,0,0.060058,25,25,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,sympy__sympy-13031,pass,1797.3,1757.2,1,6370700,179182,17310,6174208,0,0.194485,14,8,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,sympy__sympy-13091,pass,1576.6,1537.4,1,3078079,115158,6953,2955968,0,0.108506,42,42,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,sympy__sympy-13372,pass,159.9,91.1,1,184831,37809,1358,145664,0,0.009380,4,0,,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,sympy__sympy-13480,pass,123.8,69.2,1,148892,51951,1133,95808,0,0.009634,1,1,,false,0,0,0,0,0,0,0,0,0,0
