model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens,turns,toolCalls,readSingle,readBatch,grepCalls,bashCalls,editCalls,writeCalls
syn-large,claudecode,sympy__sympy-11618,pass,82.5,50.2,1,61220,0,673,41384,19163,0.001992,10,2,6204,false,0,0,0,0,0,0,0,0,0,0,13,8,3,0,,4,1,
syn-large,claudecode,sympy__sympy-12096,pass,133.8,102.4,1,63885,0,2191,42218,19476,0.002784,5,1,6247,false,0,0,0,0,0,0,0,0,0,0,15,7,2,0,,4,1,
syn-large,claudecode,sympy__sympy-12419,pass,872.7,840.1,1,693549,0,21585,631589,40375,0.036056,23,1,6314,false,0,0,0,0,0,0,0,0,0,0,79,39,8,0,,28,3,
syn-large,claudecode,sympy__sympy-12481,pass,102.4,67.3,1,76104,0,854,64499,10751,0.003007,1,4,6212,false,0,0,0,0,0,0,0,0,0,0,19,9,3,0,,5,1,
syn-large,claudecode,sympy__sympy-12489,fail,173.3,141,1,123265,0,2841,109354,11070,0.005795,8,8,6283,false,0,0,0,0,0,0,0,0,0,0,21,11,3,0,,6,2,
syn-large,claudecode,sympy__sympy-13031,pass,826.8,783,1,1624400,0,15360,1541148,67892,0.069326,6,4,6293,false,0,0,0,0,0,0,0,0,0,0,129,76,14,0,,60,2,
syn-large,claudecode,sympy__sympy-13091,fail,201.4,164.5,1,138122,0,4103,117732,16287,0.006761,4,4,6356,false,0,0,0,0,0,0,0,0,0,0,25,13,1,0,,11,1,
syn-large,claudecode,sympy__sympy-13372,pass,82.8,33.9,1,27916,0,667,13929,13320,0.000891,4,0,6322,false,0,0,0,0,0,0,0,0,0,0,8,3,2,0,,,1,
syn-large,claudecode,sympy__sympy-13480,pass,115.2,67.8,1,76989,0,1056,65712,10221,0.003156,1,1,6239,false,0,0,0,0,0,0,0,0,0,0,17,9,3,0,,5,1,
syn-large,claudecode,sympy__sympy-13551,pass,512.8,454.3,1,246055,0,9322,221182,15551,0.013508,13,7,6260,false,0,0,0,0,0,0,0,0,0,0,29,14,0,0,,13,1,
syn-large,niffler,sympy__sympy-11618,fail,56.5,23.5,1,19837,5951,382,13504,0,0.001624,2,1,2115,false,0,0,0,0,0,0,0,0,0,0,6,5,3,0,1,,1,
syn-large,niffler,sympy__sympy-12096,pass,88.8,57.7,1,169113,24219,1470,143424,0,0.010105,4,1,2217,false,0,0,0,0,0,0,0,0,0,0,9,8,1,0,2,2,3,
syn-large,niffler,sympy__sympy-12419,fail,81.4,47.8,1,35403,4476,1103,29824,0,0.002416,2,4,2374,false,0,0,0,0,0,0,0,0,0,0,9,9,3,0,2,3,1,
syn-large,niffler,sympy__sympy-12481,fail,101.4,65.2,1,55521,8574,1059,45888,0,0.003651,4,8,2131,false,0,0,0,0,0,0,0,0,0,0,14,13,3,0,1,7,2,
syn-large,niffler,sympy__sympy-12489,pass,154.4,123.4,1,343441,23758,3779,315904,0,0.018089,22,22,2303,false,0,0,0,0,0,0,0,0,0,0,22,21,6,0,5,5,5,
syn-large,niffler,sympy__sympy-13031,pass,1122.1,1089.9,1,5930359,202933,53634,5673792,0,0.284209,6,4,2332,false,0,0,0,0,0,0,0,0,0,0,74,73,10,0,9,51,2,1
syn-large,niffler,sympy__sympy-13091,fail,75.1,39,1,40545,6634,823,33088,0,0.002730,5,2,2473,false,0,0,0,0,0,0,0,0,0,0,8,8,0,0,1,6,1,
syn-large,niffler,sympy__sympy-13372,pass,83.3,29.1,1,44146,5430,956,37760,0,0.002803,4,0,2395,false,0,0,0,0,0,0,0,0,0,0,7,6,2,0,1,,3,
syn-large,niffler,sympy__sympy-13480,pass,65.1,22.7,1,32125,11981,624,19520,0,0.002890,1,1,2194,false,0,0,0,0,0,0,0,0,0,0,6,5,1,0,1,2,1,
syn-large,niffler,sympy__sympy-13551,pass,201.5,157.7,1,105322,10198,9556,85568,0,0.009730,13,0,2245,false,0,0,0,0,0,0,0,0,0,0,11,11,2,0,1,7,1,
