model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
deepseek-v4-flash,niffler,sympy__sympy-11618,fail,64.9,64.3,1,326534,8523,8251,309760,0,0.000000,0,0,11684,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,sympy__sympy-12096,pass,274,197.3,1,632625,22640,25025,584960,0,0.000000,6,1,11813,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,sympy__sympy-12419,pass,603,530.4,1,1810661,20409,59308,1730944,0,0.000000,2,1,12001,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,sympy__sympy-12481,pass,230.1,157,1,617924,18093,16279,583552,0,0.000000,4,7,11705,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,sympy__sympy-12489,pass,243.1,173.4,1,780797,16100,21401,743296,0,0.000000,21,21,11888,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,sympy__sympy-13031,pass,490.8,431,1,2293253,23154,48403,2221696,0,0.000000,6,4,11977,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,sympy__sympy-13091,fail,122.9,63.5,1,220668,5682,8010,206976,0,0.000000,5,2,12070,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,sympy__sympy-13372,pass,133.3,45.8,1,262207,7005,5730,249472,0,0.000000,4,0,12005,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,sympy__sympy-13480,pass,138.6,61.8,1,313237,10631,7310,295296,0,0.000000,1,1,11779,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,sympy__sympy-13551,pass,247.5,178.2,1,585253,13809,22708,548736,0,0.000000,7,4,11828,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler-expert,sympy__sympy-11618,pass,175.6,104.2,1,963509,51748,12881,898880,0,0.000000,9,2,11686,true,2,2,0,0,0,0,0,3461,1600,1327
deepseek-v4-flash,niffler-expert,sympy__sympy-12096,pass,217.1,144.7,1,381261,9178,19187,352896,0,0.000000,8,1,11815,true,2,2,0,0,0,0,0,3677,2816,1938
deepseek-v4-flash,niffler-expert,sympy__sympy-12419,pass,444.1,378.2,1,1432637,28757,44584,1359296,0,0.000000,2,5,12003,true,2,1,0,0,0,0,1,4400,3008,1668
deepseek-v4-flash,niffler-expert,sympy__sympy-12481,pass,288.7,216.2,1,707059,17156,27503,662400,0,0.000000,7,2,11707,true,2,2,0,0,0,0,0,3736,640,1480
deepseek-v4-flash,niffler-expert,sympy__sympy-12489,pass,319.5,247.8,1,1591144,38201,30255,1522688,0,0.000000,26,26,11890,true,2,2,0,0,0,0,0,3711,1920,1353
deepseek-v4-flash,niffler-expert,sympy__sympy-13031,fail,615.9,615.9,1,3071028,25853,70391,2974784,0,0.000000,0,0,11979,true,1,0,1,1,0,0,0,1766,320,2477
deepseek-v4-flash,niffler-expert,sympy__sympy-13091,fail,120.6,65.8,1,156868,5757,7815,143296,0,0.000000,1,1,12072,true,2,1,0,0,0,0,1,3719,1600,995
deepseek-v4-flash,niffler-expert,sympy__sympy-13372,pass,137.8,43.1,1,73161,4316,4845,64000,0,0.000000,4,0,12007,true,2,2,0,0,0,0,0,3511,1408,4033
deepseek-v4-flash,niffler-expert,sympy__sympy-13480,pass,115,50.8,1,131230,5537,3837,121856,0,0.000000,1,1,11781,true,2,2,0,0,0,0,0,3589,1664,2148
deepseek-v4-flash,niffler-expert,sympy__sympy-13551,pass,321.3,252.8,1,621640,15135,32425,574080,0,0.000000,9,8,11830,true,2,2,0,0,0,0,0,3610,2816,2706
