model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
deepseek-v4-flash,niffler,sympy__sympy-11618,pass,76.6,34.1,1,222184,21687,3761,196736,0,0.000000,3,3,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,sympy__sympy-12096,fail,77.3,76.9,1,439766,16836,7826,415104,0,0.000000,0,0,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,sympy__sympy-12419,fail,80.3,80.2,1,404964,9726,8550,386688,0,0.000000,0,0,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,sympy__sympy-12481,pass,305.9,264.1,1,803408,13229,37539,752640,0,0.000000,2,6,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,sympy__sympy-12489,pass,410.7,364.4,1,803174,20437,31121,751616,0,0.000000,21,21,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,sympy__sympy-13031,fail,103,102.8,1,486648,12008,10384,464256,0,0.000000,0,0,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,sympy__sympy-13091,fail,364.1,311.5,1,843616,26274,36414,780928,0,0.000000,7,2,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,sympy__sympy-13372,pass,103.9,22.6,1,134386,2763,2471,129152,0,0.000000,4,0,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,sympy__sympy-13480,pass,86.4,19.5,1,133150,15510,2056,115584,0,0.000000,1,1,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,niffler,sympy__sympy-13551,pass,451.7,378.7,1,861449,24347,45934,791168,0,0.000000,8,4,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,sympy__sympy-11618,pass,287.8,240.5,1,1217691,38754,3769,1175168,0,0.016277,5,2,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,sympy__sympy-12096,pass,361.7,316.4,1,1274476,36765,4559,1233152,0,0.018410,7,1,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,sympy__sympy-12419,pass,394.2,351.4,1,1528790,51945,4333,1472512,0,0.022603,2,4,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,sympy__sympy-12481,pass,306.7,262.7,1,1132453,35282,4051,1093120,0,0.017190,3,2,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,sympy__sympy-12489,pass,466.5,424.9,1,2369947,43188,9959,2316800,0,0.023844,26,26,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,sympy__sympy-13031,pass,797.6,755.8,1,4215363,54427,9000,4151936,0,0.043213,6,4,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,sympy__sympy-13091,fail,425.6,377.9,1,1064298,35572,3958,1024768,0,0.017709,6,3,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,sympy__sympy-13372,pass,208.4,122.7,1,272985,21718,1539,249728,0,0.006602,4,0,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,sympy__sympy-13480,pass,91.9,29.1,1,113314,17417,793,95104,0,0.003040,1,1,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,sympy__sympy-13551,pass,576.7,505.8,1,1621183,48569,5382,1567232,0,0.025131,10,4,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,sympy__sympy-11618,pass,68.9,26.3,1,49870,3408,2942,43520,0,0.005537,5,2,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,sympy__sympy-12096,pass,187.6,144.8,1,276180,9027,16273,250880,0,0.028131,6,2,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,sympy__sympy-12419,pass,835.9,781,1,4534269,45963,85106,4403200,0,0.233318,2,4,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,sympy__sympy-12481,pass,342.8,286.1,1,901916,21397,37127,843392,0,0.071995,19,14,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,sympy__sympy-12489,fail,345.3,345.2,1,1331873,29371,47334,1255168,0,0.097417,23,23,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,sympy__sympy-13031,pass,508.4,455.4,1,2910845,36349,54272,2820224,0,0.151123,6,4,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,sympy__sympy-13091,pass,379.9,334,1,1025647,17897,44166,963584,0,0.082394,24,9,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,sympy__sympy-13372,pass,97.8,21,1,35466,3400,2754,29312,0,0.004922,4,0,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,sympy__sympy-13480,pass,82.7,22.1,1,39983,3800,2519,33664,0,0.004890,1,1,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,sympy__sympy-13551,pass,387.4,319.7,1,676153,28946,44583,602624,0,0.075890,8,2,false,0,0,0,0,0,0,0,0,0,0
