model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
deepseek-v4.1-flash,niffler,sympy__sympy-11618,fail,92.1,49.9,1,214509,11232,7437,195840,0,0.006735,21,3,1966,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,sympy__sympy-12096,pass,52.9,12.5,1,23438,2138,1332,19968,0,0.001180,1,1,2095,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,sympy__sympy-12419,pass,239.6,187.6,1,1214415,25062,29289,1160064,0,0.024813,2,5,2283,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,sympy__sympy-12481,pass,109.2,60.2,1,256899,13224,10587,233088,0,0.009035,10,6,1987,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,sympy__sympy-12489,pass,181.3,117.8,1,773375,20282,17349,735744,0,0.015659,25,25,2170,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,sympy__sympy-13031,pass,324.4,292.1,1,2771204,35565,43543,2692096,0,0.039537,8,4,2259,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,sympy__sympy-13091,fail,264.1,224.7,1,1914808,31336,39376,1844096,0,0.033858,25,10,2352,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,sympy__sympy-13372,pass,120.9,16.9,1,45922,4954,1800,39168,0,0.001941,4,0,2287,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,sympy__sympy-13480,pass,94.2,45,1,50115,5311,2052,42752,0,0.002156,1,1,2061,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,niffler,sympy__sympy-13551,pass,258.4,198,1,1321786,28415,34235,1259136,0,0.028581,13,0,2110,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,pi,sympy__sympy-11618,fail,53.8,20.3,1,35595,4468,3735,27392,0,0.002993,5,2,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,pi,sympy__sympy-12096,pass,62.2,12.1,1,20511,3148,1619,15744,0,0.001491,1,1,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,pi,sympy__sympy-12419,pass,190,150.7,1,1009154,24929,26657,957568,0,0.022606,2,5,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,pi,sympy__sympy-12481,pass,81.9,29.1,1,85683,7769,4954,72960,0,0.004357,9,6,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,pi,sympy__sympy-12489,pass,145.2,90.7,1,489803,18643,16376,454784,0,0.013986,26,26,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,pi,sympy__sympy-13031,pass,356.3,322.6,1,3693983,39857,53614,3600512,0,0.048948,8,4,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,pi,sympy__sympy-13091,fail,233.8,190.1,1,1418034,30005,35709,1352320,0,0.029983,10,4,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,pi,sympy__sympy-13372,pass,54.6,7.8,1,15562,3393,1289,10880,0,0.001315,4,0,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,pi,sympy__sympy-13480,pass,68,22.8,1,46730,4514,3048,39168,0,0.002623,1,1,,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4.1-flash,pi,sympy__sympy-13551,pass,233.4,165.1,1,399524,14673,37587,347264,0,0.025795,10,5,,false,0,0,0,0,0,0,0,0,0,0
