model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens,turns,toolCalls,readSingle,readBatch,grepCalls,bashCalls,editCalls,writeCalls
syn-deepseek-v41,claudecode,sympy__sympy-11618,fail,191.3,113.6,1,113016,0,2173,100328,10515,0.001605,6,2,6413,false,0,0,0,0,0,0,0,0,0,0,24,12,5,0,,6,1,
syn-deepseek-v41,claudecode,sympy__sympy-12096,pass,154.5,102.3,1,163084,0,2814,141602,18668,0.002113,1,1,6467,false,0,0,0,0,0,0,0,0,0,0,31,16,3,0,,8,5,
syn-deepseek-v41,claudecode,sympy__sympy-12419,pass,557.9,511.6,1,1231356,0,13311,1181763,36282,0.011532,2,1,6546,false,0,0,0,0,0,0,0,0,0,0,103,56,17,0,,38,1,
syn-deepseek-v41,claudecode,sympy__sympy-12481,pass,192.1,139.8,1,123915,0,4076,100761,19078,0.002748,10,6,6422,false,0,0,0,0,0,0,0,0,0,0,26,11,6,0,,3,2,
syn-deepseek-v41,claudecode,sympy__sympy-12489,pass,514.2,476.5,1,1222129,0,13562,1170395,38172,0.011648,35,31,6499,false,0,0,0,0,0,0,0,0,0,0,108,59,0,0,,35,24,
syn-deepseek-v41,claudecode,sympy__sympy-13031,pass,1242.8,1197.6,1,2160404,0,33415,2064697,62292,0.026243,8,4,6534,false,0,0,0,0,0,0,0,0,0,0,145,75,32,0,,41,2,
syn-deepseek-v41,claudecode,sympy__sympy-13091,fail,699.7,661,1,965080,0,17271,913543,34266,0.013103,28,13,6577,false,0,0,0,0,0,0,0,0,0,0,84,41,1,0,,35,5,
syn-deepseek-v41,claudecode,sympy__sympy-13372,pass,99.7,45.8,1,66906,0,1281,56147,9478,0.000937,4,0,6548,false,0,0,0,0,0,0,0,0,0,0,17,7,5,0,,1,1,
syn-deepseek-v41,claudecode,sympy__sympy-13480,pass,98.4,52.8,1,47359,0,1605,36911,8843,0.001074,1,1,6455,false,0,0,0,0,0,0,0,0,0,0,11,5,0,0,,4,1,
syn-deepseek-v41,claudecode,sympy__sympy-13551,pass,573.9,523.8,1,671656,0,16067,619522,36067,0.011499,11,4,6474,false,0,0,0,0,0,0,0,0,0,0,70,35,11,0,,22,2,
syn-deepseek-v41,niffler,sympy__sympy-11618,pass,191.5,117.5,1,157917,16379,6498,135040,0,0.006761,17,3,2388,false,0,0,0,0,0,0,0,0,0,0,15,19,10,0,3,4,2,
syn-deepseek-v41,niffler,sympy__sympy-12096,pass,107.5,46.5,1,42742,9804,3242,29696,0,0.003505,1,1,2517,false,0,0,0,0,0,0,0,0,0,0,6,7,4,0,2,,1,
syn-deepseek-v41,niffler,sympy__sympy-12419,pass,110.8,59.6,1,199329,17466,3943,177920,0,0.005519,2,4,2705,false,0,0,0,0,0,0,0,0,0,0,21,22,13,0,1,7,1,
syn-deepseek-v41,niffler,sympy__sympy-12481,pass,111.7,52.1,1,110141,14728,3765,91648,0,0.004743,9,2,2409,false,0,0,0,0,0,0,0,0,0,0,11,11,5,0,1,3,2,
syn-deepseek-v41,niffler,sympy__sympy-12489,pass,187.7,142.1,1,424088,33919,10137,380032,0,0.012310,24,24,2592,false,0,0,0,0,0,0,0,0,0,0,18,24,9,0,2,11,2,
syn-deepseek-v41,niffler,sympy__sympy-13031,pass,391.8,353,1,1567567,72680,24551,1470336,0,0.030044,6,4,2681,false,0,0,0,0,0,0,0,0,0,0,38,52,24,0,10,15,1,2
syn-deepseek-v41,niffler,sympy__sympy-13091,pass,341.1,296.6,1,625397,43489,21908,560000,0,0.021348,19,9,2774,false,0,0,0,0,0,0,0,0,0,0,24,34,1,0,,31,2,
syn-deepseek-v41,niffler,sympy__sympy-13372,pass,76.1,21.2,1,40099,5229,1462,33408,0,0.001762,4,0,2709,false,0,0,0,0,0,0,0,0,0,0,7,7,2,0,,4,1,
syn-deepseek-v41,niffler,sympy__sympy-13480,pass,72.4,26.3,1,59048,13385,1887,43776,0,0.003271,1,1,2483,false,0,0,0,0,0,0,0,0,0,0,6,6,2,0,2,1,1,
syn-deepseek-v41,niffler,sympy__sympy-13551,pass,299.2,249.3,1,258845,20236,14225,224384,0,0.012244,8,5,2532,false,0,0,0,0,0,0,0,0,0,0,12,13,3,0,2,7,1,
