model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
glm-5.3-flash,niffler,sympy__sympy-11618,fail,908.9,859.5,1,738051,49948,27815,660288,0,0.000000,4,2,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,sympy__sympy-12096,fail,856.3,856.2,1,393375,54639,19952,318784,0,0.000000,0,0,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,sympy__sympy-12419,fail,803,802.9,1,269016,38163,10117,220736,0,0.000000,0,0,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,sympy__sympy-12481,pass,615.1,568.1,1,647671,40843,16172,590656,0,0.000000,13,14,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,sympy__sympy-12489,pass,1200.3,1148,1,1052741,176581,41728,834432,0,0.000000,28,28,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,sympy__sympy-13031,fail,351,350.8,1,630281,73896,10849,545536,0,0.000000,0,0,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,sympy__sympy-13091,pass,1094.2,1045.5,1,1097461,167421,40952,889088,0,0.000000,41,41,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,sympy__sympy-13372,pass,154,69.5,1,94082,16784,1650,75648,0,0.000000,4,0,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,sympy__sympy-13480,pass,141,78.2,1,149905,23751,1802,124352,0,0.000000,1,1,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,sympy__sympy-13551,fail,321.6,321.1,1,28134,14490,396,13248,0,0.000000,0,0,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,sympy__sympy-11618,pass,412.8,366.5,1,288666,50257,1609,236800,0,0.017505,3,1,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,sympy__sympy-12096,pass,724.7,673.3,1,557035,148742,2469,405824,0,0.038422,4,1,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,sympy__sympy-12419,pass,2623.3,766.5,1,1488655,144928,1967,1341760,0,0.063472,8,2,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,sympy__sympy-12481,pass,637.8,592.3,1,826496,56473,3367,766656,0,0.034546,9,4,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,sympy__sympy-12489,fail,498.1,453.4,1,362771,45662,2677,314432,0,0.020602,8,8,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,sympy__sympy-13031,pass,2047.9,190.4,1,365162,123479,2579,239104,0,0.024808,8,4,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,sympy__sympy-13091,fail,828.3,779.3,1,773555,70909,3382,699264,0,0.037137,4,4,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,sympy__sympy-13372,pass,261,183.5,1,209348,30666,1594,177088,0,0.010493,4,0,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,sympy__sympy-13480,pass,166.7,102.5,1,167047,23430,1089,142528,0,0.007041,1,1,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,sympy__sympy-13551,timeout,78480.5,1341.6,1,175089,75589,300,99200,0,0.034761,0,0,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,pi,sympy__sympy-11618,pass,74.7,26,1,16778,12959,683,3136,0,0.000000,9,2,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,pi,sympy__sympy-12096,pass,79.1,29.1,1,17036,6508,544,9984,0,0.000000,1,1,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,pi,sympy__sympy-12419,pass,836.4,787.5,1,653476,61617,21555,570304,0,0.000000,35,1,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,pi,sympy__sympy-12481,pass,92.9,45.6,1,21569,9890,1183,10496,0,0.000000,1,4,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,pi,sympy__sympy-12489,fail,189.9,136.4,1,101701,29364,3729,68608,0,0.000000,21,21,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,pi,sympy__sympy-13031,pass,1727.6,1682.2,1,2336737,180308,35021,2121408,0,0.000000,8,4,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,pi,sympy__sympy-13091,fail,93.1,48.6,1,45350,14742,1168,29440,0,0.000000,5,5,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,pi,sympy__sympy-13372,pass,121.1,44.1,1,27564,8933,903,17728,0,0.000000,4,0,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,pi,sympy__sympy-13480,pass,87.1,28,1,15443,10482,737,4224,0,0.000000,1,1,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,pi,sympy__sympy-13551,pass,588.7,522.3,1,148782,26899,16155,105728,0,0.000000,25,9,false,0,0,0,0,0,0,0,0,0,0
