model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens,turns,toolCalls,readSingle,readBatch,grepCalls,bashCalls,editCalls,writeCalls
syn-large,niffler,sympy__sympy-11618,pass,82.8,39.8,1,39811,7387,1704,30720,0,0.003189,6,2,2175,false,0,0,0,0,0,0,0,0,0,0,9,8,1,0,1,4,2,
syn-large,niffler,sympy__sympy-12096,pass,107.2,60.3,1,19054,5141,537,13376,0,0.001575,1,1,2277,false,0,0,0,0,0,0,0,0,0,0,6,5,1,0,3,,1,
syn-large,niffler,sympy__sympy-12419,pass,137.1,96.6,1,239907,27068,2535,210304,0,0.013740,2,7,2434,false,0,0,0,0,0,0,0,0,0,0,19,18,6,0,6,3,3,
syn-large,niffler,sympy__sympy-12481,pass,160.7,120,1,45645,7121,1916,36608,0,0.003490,3,2,2191,false,0,0,0,0,0,0,0,0,0,0,10,9,1,0,2,5,1,
syn-large,niffler,sympy__sympy-12489,fail,120.7,86.1,1,103340,11808,2572,88960,0,0.006616,21,21,2363,false,0,0,0,0,0,0,0,0,0,0,13,12,2,0,1,9,,
syn-large,niffler,sympy__sympy-13031,pass,851.2,815,1,4329467,90299,31488,4207680,0,0.197596,8,4,2392,false,0,0,0,0,0,0,0,0,0,0,65,68,19,0,12,26,8,3
syn-large,niffler,sympy__sympy-13091,fail,810.9,774.2,1,65169,24942,803,39424,0,0.005720,1,1,2533,false,0,0,0,0,0,0,0,0,0,0,8,9,3,0,2,3,1,
syn-large,niffler,sympy__sympy-13372,pass,91.4,36.4,1,63640,9840,1064,52736,0,0.004117,4,0,2455,false,0,0,0,0,0,0,0,0,0,0,8,7,1,0,1,3,2,
syn-large,niffler,sympy__sympy-13480,pass,59.9,15.4,1,15205,4455,318,10432,0,0.001245,1,1,2254,false,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,1,1,
syn-large,niffler,sympy__sympy-13551,pass,176.8,135.3,1,117280,12776,7928,96576,0,0.009743,13,0,2305,false,0,0,0,0,0,0,0,0,0,0,13,13,3,0,1,8,1,
